Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
61	-46.69271	3.8674955	-40.636982	-50.99916	-3.9563587	0.09918216	-3.6975572	-4.104383	1000.0	1000.0	243999	44.208824	15.814628	54.302216	-117.82249	44.20924	15.812383	54.26746	-120.42763	-2.5166903	1.012484	22.45674	-8.4091625	-44.741524	0.84208596	4060.1430435180664
62	-47.533417	1.0759459	-46.409443	-49.305515	-6.4130583	0.1630754	-6.1775723	-6.753367	1000.0	1000.0	247999	44.40187	15.242118	53.59604	-119.889565	44.402184	15.240972	53.622585	-122.18606	-2.521078	1.0148996	22.377134	-10.707216	-44.937817	0.8165221	4144.183652877808
63	-46.917236	0.7320753	-46.256645	-48.1437	-3.7247505	0.1361738	-3.4456086	-3.91991	1000.0	1000.0	251999	44.50549	14.911287	54.34353	-110.7421	44.505726	14.910493	54.183563	-112.44337	-2.5300384	1.017016	23.796322	-8.798763	-45.049328	0.78231454	4228.365026712418
64	-47.165916	0.8275538	-46.0645	-48.202473	-5.3839617	0.10589856	-5.269145	-5.610503	1000.0	1000.0	255999	44.664955	14.283039	53.795975	-113.30623	44.66514	14.282437	54.046547	-109.98507	-2.5367808	1.0047203	29.158329	-9.52766	-45.205082	0.7057982	4312.924113512039
65	-46.995506	1.3697108	-45.289333	-49.10854	-3.7423484	0.123706356	-3.5064461	-3.9350147	1000.0	1000.0	259999	44.706547	14.135771	54.44742	-150.39006	44.70676	14.135063	54.0897	-140.05183	-2.5289276	1.042875	24.94524	-9.112126	-45.244507	1.0261308	4398.144799947739
66	-48.62358	1.6766936	-46.005913	-50.29849	-5.159301	0.023788052	-5.109631	-5.1967425	1000.0	1000.0	263999	44.79839	13.34466	53.67605	-118.052315	44.798393	13.34411	54.272938	-115.73777	-2.5302932	1.0589815	32.30916	-9.950346	-45.343742	0.73608625	4483.261490821838
67	-45.317444	1.0493687	-43.777397	-46.39777	-6.2520704	0.18393992	-6.017417	-6.42446	1000.0	1000.0	267999	44.89855	12.602507	53.548557	-133.03053	44.89875	12.602185	53.68171	-122.64591	-2.5315292	1.0444207	25.793524	-8.950384	-45.437717	0.90066797	4568.459034204483
68	-45.851814	0.9858244	-44.41781	-47.044918	-5.725428	0.00860692	-5.7012563	-5.733589	1000.0	1000.0	271999	44.989506	12.091326	53.904213	-121.15369	44.989635	12.090505	53.96227	-120.30997	-2.5349026	1.0323659	29.249321	-9.161709	-45.53245	0.63218945	4653.963205575943
69	-47.651226	0.97251755	-46.64467	-48.79008	-3.795692	0.12498721	-3.6289983	-3.9942214	1000.0	1000.0	275999	44.979816	12.176991	54.793888	-135.23761	44.979836	12.177713	54.69075	-130.45276	-2.534532	0.96945846	21.665447	-10.49556	-45.515522	0.75694823	4740.628523111343
70	-46.1294	0.6522247	-45.3867	-46.8485	-4.880035	1.033756	-2.7844713	-5.4285784	1000.0	1000.0	279999	44.910614	12.891136	55.27925	-121.3638	44.910694	12.890556	55.076954	-115.78421	-2.5397284	0.9683032	20.18719	-8.813587	-45.440098	0.6147816	4826.775472402573
